                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.1762,                 0.7093,                 1.2249,                0.79281,                0.82167,                0.87508,                0.42892,                 1.6625,                0.77634,                 1.5906,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.1716,                0.71935,                 1.2341,                0.83166,                0.80337,                0.85048,                0.39805,                 1.7035,                0.76081,                 1.6056,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.1695,                0.69499,                 1.2079,                0.86829,                0.77917,                0.86219,                0.41609,                 1.7224,                0.78082,                 1.6471,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.1495,                0.68656,                 1.2137,                0.84428,                0.80788,                0.86134,                0.42631,                 1.6637,                0.75172,                 1.6056,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.1468,                0.67737,                 1.2059,                0.81654,                0.81153,                0.84746,                0.42511,                 1.6935,                0.73353,                 1.6326,             0.00062262,             0.00062262,             0.00062262
                     59,                  1.102,                0.65479,                 1.1897,                0.84558,                0.81689,                0.86431,                0.43766,                 1.7111,                0.75794,                  1.643,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.1296,                0.65844,                 1.1978,                0.90222,                0.77342,                0.86398,                 0.4433,                 1.6521,                0.73052,                  1.594,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.1288,                0.67029,                 1.1953,                0.82099,                0.85158,                0.86858,                0.45352,                 1.6499,                 0.7306,                 1.6185,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.1106,                0.65751,                 1.1816,                 0.9089,                0.80606,                0.89188,                0.43934,                  1.711,                0.73686,                 1.6481,             0.00056603,             0.00056603,             0.00056603
                     63,                  1.101,                 0.6571,                 1.1839,                0.93037,                0.77913,                0.87951,                0.44252,                 1.6742,                0.75498,                 1.6045,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.0806,                0.64544,                 1.1722,                 0.8494,                0.81908,                0.87192,                0.45231,                 1.6749,                0.72168,                  1.618,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.0891,                0.64081,                 1.1787,                0.84263,                0.83869,                0.87647,                0.45479,                 1.6669,                0.73638,                 1.6313,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.0859,                0.64801,                 1.1697,                0.84339,                0.83759,                0.87397,                0.44281,                 1.6965,                0.72236,                 1.6517,             0.00050944,             0.00050944,             0.00050944
                     67,                 1.0682,                0.63539,                 1.1606,                0.82379,                0.80797,                0.85955,                0.43477,                 1.6794,                0.75608,                 1.6263,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.0623,                0.61023,                 1.1579,                0.84627,                0.79583,                0.86919,                0.43334,                 1.7022,                0.78369,                 1.6348,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.0313,                0.61323,                 1.1548,                0.81723,                0.81605,                0.85918,                0.42402,                 1.7298,                0.80248,                 1.6816,               0.000467,               0.000467,               0.000467
                     70,                 1.0473,                0.60791,                 1.1497,                0.83906,                0.82943,                0.86185,                 0.4344,                 1.7048,                0.75012,                 1.6529,             0.00045285,             0.00045285,             0.00045285
                     71,                 1.0425,                0.60178,                  1.151,                0.82426,                0.86768,                0.88551,                0.45105,                 1.7017,                0.74659,                 1.6364,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.0237,                0.60361,                 1.1452,                0.82642,                0.77883,                0.85449,                0.42513,                 1.6924,                0.78574,                 1.6383,             0.00042456,             0.00042456,             0.00042456
                     73,                 1.0246,                0.60414,                  1.158,                0.85477,                0.82449,                0.87321,                0.43018,                 1.6755,                0.72236,                 1.6383,             0.00041041,             0.00041041,             0.00041041
                     74,                  1.015,                 0.6125,                 1.1448,                 0.8527,                0.82059,                0.86748,                0.43684,                 1.6762,                0.71244,                 1.6524,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.0113,                0.59603,                 1.1325,                 0.8482,                0.81447,                0.86998,                0.43405,                 1.6979,                0.75205,                 1.6751,             0.00038211,             0.00038211,             0.00038211
                     76,                 1.0288,                0.59748,                 1.1417,                0.89331,                0.79506,                0.86266,                0.43054,                 1.6858,                0.74316,                 1.6518,             0.00036797,             0.00036797,             0.00036797
                     77,                 0.9749,                0.56473,                   1.12,                0.87938,                0.80715,                0.87954,                0.45347,                 1.6672,                0.70223,                 1.6362,             0.00035382,             0.00035382,             0.00035382
                     78,                0.96332,                0.55944,                 1.1174,                0.85353,                0.80754,                0.87097,                0.44392,                 1.6973,                0.73428,                 1.6471,             0.00033967,             0.00033967,             0.00033967
                     79,                0.96653,                0.56116,                 1.1109,                0.85457,                0.85982,                0.87692,                0.44961,                  1.674,                0.73361,                 1.6409,             0.00032553,             0.00032553,             0.00032553
                     80,                0.97132,                0.55657,                 1.1256,                0.90467,                0.80631,                0.86875,                0.44786,                 1.6773,                0.72398,                 1.6662,             0.00031138,             0.00031138,             0.00031138
                     81,                0.94771,                0.55077,                 1.1062,                0.84487,                0.77787,                 0.8552,                0.43572,                 1.6847,                0.78956,                 1.6637,             0.00029723,             0.00029723,             0.00029723
                     82,                0.94044,                0.54774,                 1.1041,                0.87488,                0.80241,                0.87192,                0.43898,                   1.69,                0.75496,                 1.6481,             0.00028308,             0.00028308,             0.00028308
                     83,                0.92121,                0.53514,                 1.1007,                0.84458,                0.81454,                0.86684,                0.44766,                 1.6675,                0.73533,                 1.6633,             0.00026894,             0.00026894,             0.00026894
                     84,                0.92612,                0.53488,                 1.1051,                0.89156,                0.83055,                0.87876,                0.44663,                 1.6811,                0.74401,                 1.6567,             0.00025479,             0.00025479,             0.00025479
                     85,                0.91938,                0.53658,                 1.0947,                0.87599,                0.84416,                0.87712,                0.44782,                 1.6643,                0.72442,                 1.6636,             0.00024064,             0.00024064,             0.00024064
                     86,                0.91413,                0.53873,                 1.0957,                0.90085,                 0.8063,                0.87588,                0.44872,                 1.6825,                0.74382,                 1.6677,              0.0002265,              0.0002265,              0.0002265
                     87,                0.90979,                0.53301,                  1.094,                0.89794,                0.79744,                0.86448,                 0.4279,                 1.7164,                0.75105,                 1.6899,             0.00021235,             0.00021235,             0.00021235
                     88,                0.90184,                 0.5331,                  1.087,                 0.8832,                0.82429,                0.87858,                0.44214,                 1.7096,                0.73828,                 1.7149,              0.0001982,              0.0001982,              0.0001982
                     89,                0.87986,                0.51187,                 1.0836,                0.90376,                0.80965,                0.87416,                0.45321,                 1.6788,                0.73504,                  1.697,             0.00018406,             0.00018406,             0.00018406
                     90,                0.89061,                0.51746,                 1.0926,                0.88709,                0.77671,                 0.8645,                0.44827,                 1.6706,                0.75429,                 1.6794,             0.00016991,             0.00016991,             0.00016991
                     91,                 0.8044,                0.42309,                 1.0428,                0.85977,                0.81495,                0.86747,                0.43924,                 1.6904,                0.74797,                 1.7196,             0.00015576,             0.00015576,             0.00015576
                     92,                0.80595,                0.40898,                 1.0489,                0.88953,                0.80184,                0.86947,                0.44723,                  1.669,                0.72637,                 1.7076,             0.00014161,             0.00014161,             0.00014161
                     93,                0.77803,                0.39131,                 1.0379,                0.87605,                0.80145,                0.87327,                 0.4446,                 1.6787,                0.73269,                  1.717,             0.00012747,             0.00012747,             0.00012747
                     94,                0.75958,                 0.3894,                  1.032,                0.90346,                0.78667,                0.87297,                 0.4398,                 1.6966,                0.73019,                 1.7283,             0.00011332,             0.00011332,             0.00011332
                     95,                0.76826,                0.38182,                 1.0382,                0.89064,                0.82479,                0.87617,                0.44583,                 1.6907,                0.73548,                 1.7429,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.76083,                0.38019,                 1.0276,                0.87086,                  0.834,                0.87746,                0.44607,                 1.6812,                0.72327,                 1.7279,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 0.7581,                0.37847,                 1.0381,                0.89946,                0.81805,                0.88133,                0.45678,                 1.6879,                0.71879,                 1.7381,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.75126,                0.37528,                 1.0233,                 0.9152,                0.79352,                0.88515,                0.46114,                 1.6778,                0.73043,                 1.7294,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.73127,                0.37199,                 1.0252,                0.92022,                 0.7938,                0.88603,                0.45671,                 1.6786,                0.73057,                 1.7286,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.72078,                0.36488,                 1.0077,                0.91503,                0.79656,                0.88516,                0.45616,                 1.6819,                0.72684,                 1.7336,             2.8437e-05,             2.8437e-05,             2.8437e-05
